"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"AT1G02930.1","0.679189801104077","0.558904371091871","28","20","0.887403473298935"
"AT1G02930.2","0.147746940602152","0.0968455387205387","28","24","1.39332064700872"
"AT1G03040.1","1","1","24","22","0.722120123573033"
"AT1G03040.2","1","1","20","18","0.840400205207"
"AT1G03055.1","0.00195626018726725","9.57491582491583e-05","24","22","1.33201232905592"
"AT1G03080.1","0.147746940602152","0.0968455387205387","24","18","1.1860914718421"
"AT1G03090.2","0.33011780973387","0.247873827561328","24","10","0.444425290375337"
"AT1G03110.1","0.0951258524510643","0.0572696458633959","24","0","1.00579520558648"
"AT1G03130.1","0.00810747064554171","0.00193362193362193","24","6","1.31942438441455"
"AT1G03140.1","0.00810747064554171","0.00193362193362193","24","10","1.07800612074173"
